id;name;priority;date_time;duration;plan_id;reason_id;captures_id;result_id;project_id
1;mobile ADP Auto;84044;2021-09-25T18:31:52;6179;1;1;1;1;1
2;Central;33238;2021-09-24T23:20:23;51517;2;2;2;2;2
3;markets neural;87223;2021-09-25T09:49:38;4552;3;3;3;3;3
4;turquoise;6011;2021-09-25T08:09:04;27403;4;4;4;4;4
5;Springs Technician;23693;2021-09-25T10:34:24;31241;5;5;5;5;5
6;Tactics Wooden Keyboard;36942;2021-09-25T00:42:47;85945;6;6;6;6;6
7;convergence;10667;2021-09-25T17:37:54;98840;7;7;7;7;7
8;Soft Graphical Berkshire;45442;2021-09-25T13:00:19;19240;8;8;8;8;8
9;Direct parallelism;11238;2021-09-25T00:18:43;51258;9;9;9;9;9
10;paradigms;2271;2021-09-25T14:39:36;11727;10;10;10;10;10
