id;name;date_time;duration;project_id
1;District;2021-09-25T08:56:01;64563;1
2;Home copy;2021-09-25T10:12:00;50838;2
3;Intranet Integration Lock;2021-09-25T04:00:21;94927;3
4;open-source;2021-09-25T04:02:09;1814;4
5;ubiquitous cyan applications;2021-09-25T15:31:16;3312;5
6;index strategic;2021-09-25T01:03:17;54995;6
7;Central markets;2021-09-24T23:20:22;21752;7
8;Berkshire;2021-09-25T07:37:48;26530;8
9;Security;2021-09-25T17:22:24;28503;9
10;Facilitator Organic Handmade;2021-09-25T10:27:36;28004;10
